DATE_OF_INTEREST;CASE_COUNT;probable_case_count;HOSPITALIZED_COUNT;DEATH_COUNT;DEATH_COUNT_PROBABLE;CASE_COUNT_7DAY_AVG;all_case_count_7day_avg;HOSP_COUNT_7DAY_AVG;DEATH_COUNT_7DAY_AVG;all_death_count_7day_avg;BX_CASE_COUNT;bx_probable_case_count;BX_HOSPITALIZED_COUNT;BX_DEATH_COUNT;bx_probable_death_count;BX_CASE_COUNT_7DAY_AVG;bx_all_case_count_7day_avg;BX_HOSPITALIZED_COUNT_7DAY_AVG;BX_DEATH_COUNT_7DAY_AVG;bx_all_death_count_7day_avg;BK_CASE_COUNT;bk_probable_case_count;BK_HOSPITALIZED_COUNT;BK_DEATH_COUNT;bk_probable_death_count;BK_CASE_COUNT_7DAY_AVG;bk_all_case_count_7day_avg;BK_HOSPITALIZED_COUNT_7DAY_AVG;BK_DEATH_COUNT_7DAY_AVG;bk_all_death_count_7day_avg;MN_CASE_COUNT;mn_probable_case_count;MN_HOSPITALIZED_COUNT;MN_DEATH_COUNT;mn_probable_death_count;MN_CASE_COUNT_7DAY_AVG;mn_all_case_count_7day_avg;MN_HOSPITALIZED_COUNT_7DAY_AVG;MN_DEATH_COUNT_7DAY_AVG;mn_all_death_count_7day_avg;QN_CASE_COUNT;qn_probable_case_count;QN_HOSPITALIZED_COUNT;QN_DEATH_COUNT;qn_probable_death_count;QN_CASE_COUNT_7DAY_AVG;qn_all_case_count_7day_avg;QN_HOSPITALIZED_COUNT_7DAY_AVG;QN_DEATH_COUNT_7DAY_AVG;qn_all_death_count_7day_avg;SI_CASE_COUNT;si_probable_case_count;SI_HOSPITALIZED_COUNT;SI_DEATH_COUNT;si_probable_death_count;SI_CASE_COUNT_7DAY_AVG;si_all_case_count_7day_avg;SI_HOSPITALIZED_COUNT_7DAY_AVG;SI_DEATH_COUNT_7DAY_AVG;si_all_death_count_7day_avg;INCOMPLETE
03/27/2020;5,119;43;1,571;218;43;4,046;4,066;1,213;114;134;1,090;10;317;36;10;828;832;254;22;25;1,426;12;473;75;12;1,069;1,075;349;33;39;656;6;223;42;6;533;537;185;18;21;1,576;15;514;58;15;1,288;1,295;387;35;41;371;0;64;7;0;328;328;47;6;7;0
03/28/2020;3,479;51;1,382;273;51;4,166;4,193;1,304;147;173;761;12;315;62;12;867;872;276;29;34;863;15;397;78;15;1,113;1,121;379;43;50;388;6;187;28;6;532;536;195;21;25;1,201;17;452;92;17;1,324;1,334;417;46;55;266;1;50;13;1;330;331;50;8;8;0
03/29/2020;3,560;62;1,502;290;62;4,306;4,341;1,408;181;216;699;10;324;55;10;896;903;297;35;42;1,149;19;461;89;19;1,170;1,179;415;54;64;407;11;163;35;11;545;550;199;25;31;1,075;19;505;94;19;1,379;1,391;456;57;69;230;3;64;17;3;318;319;54;9;10;0
03/30/2020;6,129;87;1,849;323;87;4,672;4,717;1,509;216;260;1,314;16;353;75;16;980;988;316;44;53;1,754;27;555;106;27;1,290;1,304;452;65;79;804;17;277;34;17;584;591;212;29;36;1,858;27;611;98;27;1,474;1,488;487;67;82;398;0;72;10;0;345;346;58;10;10;0
03/31/2020;5,458;88;1,783;386;87;4,809;4,865;1,578;257;313;1,282;16;391;98;16;1,030;1,041;333;56;67;1,513;28;541;127;28;1,333;1,350;477;80;97;616;12;224;43;11;583;592;215;33;41;1,810;31;594;96;31;1,534;1,552;511;76;94;237;1;70;22;1;329;330;61;12;13;0
04/01/2020;5,449;102;1,729;447;102;4,891;4,959;1,621;303;371;1,240;18;379;93;18;1,055;1,068;343;65;78;1,590;34;502;135;34;1,381;1,402;488;94;115;573;14;220;59;14;581;592;217;39;48;1,782;33;580;144;33;1,564;1,586;530;92;114;264;3;83;16;3;310;311;66;14;15;0
04/02/2020;5,747;170;1,663;497;169;4,992;5,078;1,640;348;434;1,290;42;357;96;42;1,097;1,114;348;74;91;1,610;52;445;171;52;1,415;1,442;482;112;138;652;14;244;62;14;585;597;220;43;55;1,826;55;572;139;55;1,590;1,618;547;103;131;369;7;74;29;6;305;307;68;16;18;0
04/03/2020;5,669;167;1,708;499;167;5,070;5,174;1,659;388;491;1,450;32;388;116;32;1,148;1,169;358;85;106;1,440;63;451;144;63;1,417;1,451;479;121;155;672;22;258;51;22;587;601;225;45;58;1,762;46;561;159;46;1,616;1,649;554;117;150;345;4;69;29;4;301;304;69;19;22;0
04/04/2020;3,864;188;1,446;510;188;5,125;5,249;1,669;422;545;1,011;39;313;106;39;1,184;1,208;358;91;116;920;65;380;164;65;1,425;1,466;476;134;175;385;27;201;62;27;587;604;227;49;66;1,202;54;523;158;54;1,616;1,654;564;127;165;345;3;54;20;3;313;316;69;20;23;0
04/05/2020;3,780;172;1,400;577;172;5,157;5,296;1,654;463;602;822;32;314;123;32;1,201;1,229;356;101;129;1,142;58;405;165;58;1,424;1,471;468;145;191;356;23;192;86;23;580;598;231;57;75;1,136;53;441;181;53;1,625;1,668;555;139;182;323;6;72;22;6;326;329;71;21;24;0
04/06/2020;6,353;224;1,742;576;224;5,189;5,347;1,639;499;657;1,514;38;391;112;38;1,230;1,261;362;106;137;1,461;89;473;169;89;1,382;1,438;457;154;209;721;32;266;69;32;568;588;229;62;82;1,927;57;553;202;57;1,635;1,682;546;154;201;730;8;82;24;8;373;378;72;23;28;0
04/07/2020;6,044;218;1,574;598;218;5,272;5,450;1,609;529;706;1,463;40;335;115;40;1,256;1,290;354;109;143;1,397;82;458;180;82;1,366;1,429;445;161;224;606;29;195;92;29;566;589;225;69;92;1,948;58;539;184;58;1,655;1,706;538;167;218;630;9;69;27;9;429;435;72;24;29;0
04/08/2020;5,576;202;1,539;568;202;5,290;5,482;1,582;546;738;1,305;37;361;114;37;1,265;1,302;351;112;149;1,306;78;452;171;78;1,325;1,395;438;166;236;546;23;172;66;23;563;587;218;70;94;1,857;55;519;183;55;1,665;1,719;530;172;226;562;9;63;34;9;472;479;69;26;33;0
04/09/2020;5,070;197;1,343;558;197;5,194;5,389;1,536;555;751;1,285;36;273;108;36;1,264;1,301;339;113;150;1,370;72;417;188;72;1,291;1,363;434;169;241;558;30;193;65;30;549;576;211;70;97;1,559;50;430;172;50;1,627;1,681;509;177;230;298;9;53;25;9;462;469;66;26;33;0
04/10/2020;4,510;186;1,284;537;186;5,028;5,226;1,475;561;759;1,226;39;298;116;39;1,232;1,270;326;113;151;1,145;61;327;178;61;1,249;1,321;416;174;246;496;23;179;69;23;524;551;200;73;99;1,342;58;438;155;58;1,567;1,622;492;176;231;301;5;62;19;5;456;463;65;24;31;0
04/11/2020;3,733;173;1,038;544;173;5,009;5,205;1,417;565;761;999;36;249;132;36;1,231;1,267;317;117;154;1,130;58;298;160;58;1,279;1,350;404;173;244;304;19;132;60;19;512;538;190;72;98;988;57;329;164;57;1,537;1,592;464;177;233;311;3;47;28;3;451;458;64;26;33;0
04/12/2020;2,888;174;950;573;174;4,882;5,078;1,353;565;761;764;35;233;110;35;1,222;1,260;306;115;153;703;64;252;201;64;1,216;1,288;382;178;250;252;26;130;62;26;498;524;181;69;95;916;42;301;174;42;1,505;1,559;444;176;230;253;7;45;26;7;441;448;60;26;33;0
04/13/2020;3,311;185;1,144;568;185;4,447;4,638;1,267;564;754;692;30;263;122;30;1,105;1,141;287;117;153;1,066;88;325;157;88;1,160;1,231;361;176;248;394;15;171;71;15;451;474;167;69;93;974;44;341;193;44;1,369;1,421;414;175;227;185;8;58;25;8;363;370;57;26;33;0
04/14/2020;4,144;142;978;507;141;4,176;4,356;1,182;551;730;1,076;37;203;111;37;1,050;1,085;269;116;152;1,037;47;265;152;47;1,108;1,175;334;172;239;441;20;141;59;19;427;450;160;65;87;1,300;34;338;161;34;1,277;1,325;385;172;220;290;4;46;24;4;314;321;53;26;32;0
04/15/2020;3,876;105;858;455;105;3,933;4,099;1,085;535;700;1,068;30;202;95;30;1,016;1,050;246;113;148;882;29;244;132;29;1,048;1,107;304;167;227;429;19;131;56;19;411;432;154;63;85;1,180;21;263;148;21;1,180;1,224;349;167;210;317;6;32;24;6;279;285;49;24;30;0
04/16/2020;3,530;137;777;413;137;3,713;3,871;1,004;514;671;940;35;175;86;35;966;1,001;232;110;145;884;43;225;126;43;978;1,034;277;158;214;356;15;105;55;15;382;401;141;62;81;1,139;41;238;132;41;1,120;1,162;321;161;203;211;3;43;14;3;267;272;48;23;28;0
04/17/2020;3,586;93;788;384;93;3,581;3,725;933;492;636;916;19;170;88;19;922;954;214;106;138;962;37;235;118;37;952;1,004;263;149;202;330;8;107;41;8;358;375;131;58;75;1,099;25;256;122;25;1,085;1,123;295;156;194;279;4;32;15;4;264;269;43;22;27;0
04/18/2020;2,172;117;585;390;117;3,358;3,494;869;470;606;552;24;136;62;24;858;888;197;96;126;575;35;159;116;35;873;922;244;143;192;187;15;85;57;15;341;358;124;57;74;705;37;186;136;37;1,045;1,080;275;152;187;153;6;29;19;6;241;247;41;21;26;0
04/19/2020;2,344;89;533;399;89;3,280;3,404;809;445;569;532;20;142;79;20;825;853;184;92;120;635;25;123;118;25;863;906;225;131;175;176;18;70;48;18;330;346;116;55;71;867;18;175;135;18;1,038;1,069;257;147;178;134;8;28;19;8;224;230;38;20;26;0
04/20/2020;3,792;95;630;363;95;3,349;3,460;736;416;527;981;22;143;78;22;866;893;167;86;112;983;30;189;95;30;851;886;206;122;158;381;12;96;49;12;329;344;105;52;67;1,223;25;190;125;25;1,073;1,102;235;137;166;224;6;32;16;6;230;235;35;19;24;0
04/21/2020;3,063;93;585;323;93;3,195;3,299;679;390;494;641;18;143;70;18;804;828;159;80;104;896;29;162;92;29;831;864;191;114;146;372;13;91;47;13;319;333;98;50;65;938;28;174;103;28;1,022;1,049;212;129;157;216;5;24;11;5;219;225;31;17;22;0
04/22/2020;3,447;83;512;311;83;3,133;3,234;630;369;470;927;17;120;67;17;784;806;147;76;98;854;23;140;107;23;827;859;176;110;142;383;17;91;37;17;312;326;92;48;62;1,109;22;154;86;22;1,011;1,039;196;120;148;173;4;17;14;4;199;204;29;15;21;0
04/23/2020;2,841;79;443;330;79;3,035;3,128;582;357;450;735;15;111;58;15;755;774;138;72;91;785;25;127;106;25;813;842;162;107;137;400;9;56;47;9;318;332;85;47;60;793;26;137;106;26;962;988;182;116;142;128;4;22;13;4;187;192;26;15;21;0
04/24/2020;2,535;58;462;314;58;2,885;2,973;536;347;435;579;14;99;62;14;707;725;128;68;87;630;19;129;93;19;765;792;147;104;130;409;7;80;47;7;330;343;81;47;60;774;15;138;98;15;916;940;165;113;137;143;3;29;14;3;167;172;26;15;20;0
04/25/2020;1,595;52;324;265;52;2,802;2,881;498;329;408;418;6;80;57;6;688;704;120;67;83;404;21;96;77;21;741;766;138;98;123;145;6;42;40;6;324;335;75;45;57;540;17;92;82;17;892;914;151;105;127;88;2;23;9;2;158;163;25;14;18;0
04/26/2020;1,003;51;312;245;51;2,611;2,684;467;307;380;196;10;75;54;10;640;654;110;64;78;332;20;76;61;20;698;722;131;90;114;98;12;44;34;12;313;323;71;43;54;331;6;101;89;6;815;835;141;98;118;46;3;17;7;3;145;149;23;12;16;0
04/27/2020;2,290;45;370;270;45;2,396;2,462;430;294;360;551;10;93;54;10;578;591;103;60;73;607;18;93;86;18;644;666;118;89;111;302;5;62;30;5;301;311;67;40;50;723;9;107;91;9;744;762;129;94;111;107;3;20;9;3;129;132;22;11;14;0
04/28/2020;2,726;31;350;229;31;2,348;2,405;396;281;338;668;8;88;56;8;582;593;95;58;70;709;9;92;57;9;617;637;108;84;103;323;4;57;35;4;294;303;62;39;47;896;8;106;73;8;738;753;119;89;104;130;2;16;8;2;116;119;21;11;14;0
04/29/2020;2,340;35;309;237;35;2,190;2,240;367;270;320;557;7;79;40;7;529;539;89;54;64;682;12;94;71;12;593;610;101;79;96;285;5;44;32;5;280;287;55;38;45;692;9;87;80;9;678;691;110;88;101;124;2;13;14;2;109;112;20;11;13;0
04/30/2020;2,022;28;253;224;28;2,073;2,116;340;255;298;482;6;60;45;6;493;502;82;53;61;600;12;74;65;12;566;582;93;73;89;217;3;31;35;3;254;260;51;36;42;593;6;80;68;6;650;660;102;83;93;130;1;12;11;1;110;112;19;10;13;0
05/01/2020;1,887;38;262;210;38;1,980;2,020;311;240;280;450;6;73;45;6;475;482;78;50;58;497;15;66;56;15;547;563;84;68;83;240;5;33;24;5;230;236;45;33;39;622;6;82;77;6;628;637;94;80;89;78;6;13;8;6;100;103;16;9;12;0
05/02/2020;1,058;33;206;190;33;1,904;1,941;295;229;267;263;6;52;49;6;452;460;74;49;57;263;14;54;45;14;527;541;78;63;77;138;5;23;23;5;229;235;42;30;36;333;7;66;61;7;599;606;90;77;84;61;1;18;12;1;97;99;16;10;12;0
05/03/2020;787;28;215;177;28;1,873;1,907;281;220;254;153;5;44;27;5;446;453;70;45;52;245;12;58;45;12;515;528;76;61;74;103;3;33;35;3;230;234;40;31;35;251;7;70;55;7;587;595;85;72;80;35;1;13;15;1;95;97;15;11;13;0
05/04/2020;1,550;34;238;158;34;1,767;1,800;262;204;236;349;6;58;34;6;417;424;65;42;49;461;10;73;42;10;494;506;73;54;66;214;10;38;19;10;217;222;37;29;34;437;4;60;55;4;546;553;79;67;74;89;4;14;8;4;92;95;14;11;13;0
05/05/2020;1,512;16;212;151;16;1,594;1,624;242;192;223;294;2;64;26;2;364;369;61;38;43;433;7;66;49;7;454;466;69;53;65;242;2;26;18;2;206;210;33;27;31;462;5;49;46;5;484;491;71;63;69;81;0;11;12;0;85;88;13;11;14;0
05/06/2020;1,398;28;212;151;28;1,459;1,488;228;180;209;279;9;56;29;9;324;330;58;36;42;450;15;62;38;15;421;433;65;49;61;165;2;28;17;2;188;193;30;24;29;444;2;55;59;2;449;454;66;60;65;60;0;15;8;0;76;78;14;11;12;0
05/07/2020;1,239;18;177;142;18;1,347;1,375;217;168;196;298;4;43;28;4;298;303;56;34;39;403;8;54;46;8;393;405;62;46;57;119;2;18;23;2;174;179;28;23;27;359;2;52;41;2;415;420;62;56;61;60;2;13;4;2;66;68;14;10;12;0
05/08/2020;1,080;22;170;131;22;1,232;1,258;204;157;183;250;5;42;22;5;269;275;51;31;36;344;4;53;43;4;371;381;60;44;54;99;6;20;13;6;154;159;27;21;25;345;7;45;48;7;376;381;57;52;57;42;0;11;5;0;61;62;14;9;10;0
05/09/2020;657;9;122;99;9;1,175;1,197;192;144;166;175;0;31;21;0;257;261;48;27;31;119;6;39;28;6;351;360;58;42;50;75;3;12;14;3;145;149;25;20;24;256;0;34;33;0;365;369;52;48;52;32;0;9;3;0;57;58;12;8;9;0
05/10/2020;457;12;104;103;12;1,128;1,147;176;134;153;75;4;24;13;4;246;250;45;25;29;188;5;36;26;5;343;350;55;39;47;95;2;22;19;2;144;148;23;18;21;85;1;18;37;1;341;344;45;46;49;14;0;5;8;0;54;55;11;7;8;0
05/11/2020;1,232;14;181;104;14;1,082;1,099;168;126;143;227;2;47;27;2;228;232;44;24;27;410;8;50;33;8;335;343;51;38;45;192;3;23;14;3;141;144;21;17;20;376;0;58;27;0;332;335;44;42;44;27;1;4;3;1;45;46;10;6;7;0
05/12/2020;1,285;13;112;90;13;1,050;1,066;154;117;134;355;2;27;19;2;237;241;39;23;26;400;6;38;33;6;331;338;47;35;43;163;2;13;14;2;130;133;19;16;19;314;3;27;18;3;311;313;41;38;40;53;0;10;6;0;41;42;10;5;6;0
05/13/2020;1,333;8;128;83;8;1,040;1,054;142;107;121;461;2;27;16;2;263;266;34;21;24;362;2;47;23;2;318;324;45;33;39;156;2;18;8;2;128;131;18;15;18;307;2;27;30;2;292;294;37;33;36;47;0;12;6;0;39;40;9;5;5;0
05/14/2020;1,110;15;142;70;15;1,022;1,035;137;97;110;255;1;26;11;1;257;259;32;18;21;333;4;39;14;4;308;313;43;29;34;149;6;23;16;6;133;136;19;14;17;331;2;44;23;2;288;290;36;31;33;42;2;11;6;2;37;37;9;5;6;0
05/15/2020;873;11;126;86;11;992;1,004;131;91;102;180;1;25;15;1;247;249;30;17;19;260;4;42;27;4;296;301;42;26;31;135;5;23;11;5;138;141;19;14;17;265;1;32;27;1;276;278;34;28;29;33;0;7;6;0;35;36;8;5;6;0
05/16/2020;485;18;91;84;18;968;981;126;89;102;108;1;17;27;1;237;239;28;18;20;165;11;30;24;11;303;308;40;26;31;51;2;11;10;2;134;138;19;13;16;136;4;31;21;4;259;261;34;26;28;25;0;3;2;0;34;35;7;5;6;0
05/17/2020;360;11;81;77;11;954;967;123;85;98;56;2;23;19;2;235;236;27;19;21;138;4;18;19;4;295;301;38;25;30;50;1;7;11;1;128;131;17;12;15;106;4;28;26;4;262;264;35;25;27;10;0;5;2;0;34;34;7;4;5;0
05/18/2020;895;8;114;59;8;906;918;113;78;90;187;0;21;11;0;229;230;24;17;18;265;3;28;17;3;275;280;35;22;27;130;2;25;7;2;119;122;17;11;14;275;3;36;22;3;248;250;32;24;27;38;0;6;2;0;35;36;8;4;5;0
05/19/2020;1,004;9;115;55;9;866;877;114;73;85;182;2;28;12;2;204;205;24;16;17;327;5;38;16;5;264;269;35;20;25;166;0;19;10;0;120;122;18;10;13;287;2;26;12;2;244;246;32;23;26;42;0;6;5;0;34;34;7;4;4;0
05/20/2020;1,077;5;79;79;5;829;840;107;73;84;278;0;18;15;0;178;179;23;16;17;323;2;31;21;2;259;263;32;20;24;164;1;11;12;1;121;123;17;11;13;256;2;16;24;2;237;239;30;22;25;56;0;5;7;0;35;35;6;4;5;0
05/21/2020;1,069;7;84;45;7;823;833;99;69;79;199;3;20;12;3;170;171;22;16;17;336;4;32;15;4;259;264;31;20;25;145;0;9;6;0;120;122;15;10;11;311;0;19;9;0;234;236;27;20;22;78;0;5;3;0;40;40;5;4;4;0
05/22/2020;1,036;11;101;66;11;847;856;95;66;76;264;1;25;13;1;182;183;22;16;17;350;8;34;15;8;272;277;30;18;23;153;1;14;5;1;123;124;14;9;10;237;0;26;28;0;230;232;26;20;22;32;1;4;5;1;40;40;5;4;4;0
05/23/2020;455;3;75;60;3;842;850;93;63;71;90;0;18;17;0;179;181;22;14;15;142;2;24;20;2;269;273;29;18;22;48;0;9;7;0;122;123;13;8;9;138;1;21;14;1;230;232;25;19;21;37;0;4;2;0;42;42;5;4;4;0
05/24/2020;467;4;87;48;4;858;864;94;59;66;101;0;19;13;0;186;187;21;13;14;161;1;22;12;1;272;276;30;17;20;69;2;21;5;2;125;126;15;7;8;121;1;20;13;1;232;233;23;17;19;15;0;5;5;0;43;43;5;4;4;0
